Year,Week,St_Martin_suspected,St_Martin_probable_confirmed,St_Marteen_suspected,St_Marteen_probable_confirmed,St_Barts_suspected,St_Barts_probable_confirmed,Martinique_suspected,Martinique_probable_confirmed,Guadeloupe_suspected,Guadeloupe_probable_confirmed,French_Guyane_suspected,French_Guyane_probable_confirmed,BVI_suspected,BVI_probable_confirmed,Anguilla_suspected,Anguilla_probable_confirmed,Dominica_suspected,Dominica_probable_confirmed,Aruba_suspected,Aruba_probable_confirmed,SKN_suspected,SKN_probable_confirmed
2013,48,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,49,50-80,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,50,115-145,38,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,51,167,80,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,52,271,118,NA,NA,NA,9,NA,18,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1,396,201,NA,NA,54,25,120,48,NA,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,2,490,294,NA,NA,81,31,340,127,76,27,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,3,610,393,NA,NA,110,45,655,267,172,68,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,4,870,476,NA,NA,180,56,980,364,545,119,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,5,1025,601,NA,NA,215,83,1480,518,790,175,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,6,1450,653,NA,65,270,104,2040,844,1120,253,NA,5,NA,6,NA,5,NA,4,NA,1,NA,NA
2014,7,1780,711,NA,65,350,114,3030,943,1380,335,NA,7,NA,5,NA,5,NA,45,NA,1,NA,NA
2014,8,2030,765,NA,115,380,127,3940,1058,1460,476,NA,17,NA,6,NA,11,NA,45,NA,1,NA,1
